Atr_0	Atr_1	Atr_2	Atr_3	Atr_4	Atr_5	Atr_6	Atr_7	Atr_8	Atr_9	Atr_10	Atr_11	Atr_12	Atr_13	Atr_14	Nombre personaje
0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	Personaje_7278
0	1	1	1	0	0	0	1	0	1	0	1	0	0	0	Personaje_14504
0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	Personaje_14851
0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	Personaje_15003
0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	Personaje_15970
1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	Personaje_26626
1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	Personaje_26765
1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	Personaje_30595
1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	Personaje_30983
1	1	1	1	0	1	1	0	0	1	0	1	0	0	1	Personaje_31529
